name,performance,damage
10_benzhydrylideneanthracen_9_one,0.1261185779500918,8.180260315372093
10_methylacridin_9_one,0.04492350893159684,1.5298437341912323
10_methylphenothiazine,0.029687071902690442,1.578812353628798
10h_phenothiazine,0.029097672457583715,0.9816705926620833
10h_phenoxazine,0.027063463361068005,0.4328465029944461
11h_benzo_b_1_benzazepine,0.029586681792563317,0.8498512005730098
11h_benzo_b_fluorene,0.042197421803231716,1.7486281360569191
16_30_diazaoctacyclo_15_11_1_14_28_02_15_03_12_05_10_018_23_025_29_triaconta_1_28_2_15_3_12_4_30_5_7_9_13_16_18_20_22_25_29_26_tetradecaene_11_24_dione,0.1789943172053386,11.983290541489321
1_10_phenanthroline,0.01215286161300109,0.9573491944526148
1_1_1_2_2_2_hexachloroethane,0.016648117368062428,2.553987435582122
1_1_1_2_2_2_hexafluoroethane,0.00450843374658838,0.08334407162281837
1_1_1_2_2_3_3_4_4_5_5_6_6_6_tetradecafluorohexane,0.13992220546297585,3.3311334917018436
1_1_1_2_2_pentachloroethane,0.014527205222991392,0.808416023975447
1_1_1_2_tetrachloroethane,0.005354416922199767,0.31326967345604906
1_1_1_3_4_4_5_5_5_nonafluoro_2_trifluoromethyl_pent_2_ene,0.07121605737573841,3.65200919184812
1_1_1_trifluoro_2_methoxyethane,0.0002670176134617147,0.02673665655263174
1_1_1_trifluoro_2_methylpropan_2_amine,0.0034758632960852098,0.0892563281150118
1_1_1_trifluoro_2_methylpropan_2_ol,0.004455554756761059,0.0972995777374922
1_1_1_trifluoro_3_methylbutan_2_amine,0.0025180099831571814,0.1567121558339012
1_1_1_trifluoro_3_methylbutan_2_ol,0.004224343759730469,0.17414977227896447
1_1_1_trifluoro_3_methylbutan_2_one,0.006453618335864137,0.10886935417173935
1_1_1_trifluoro_n_trifluoromethylsulfonyl_methanesulfonamide,0.04007987152377544,2.700640202545964
1_1_1_trifluorobutan_2_ol,0.0018508907251333364,0.09522624501558108
1_1_1_trifluorobutan_2_one,0.002579110053171993,0.07127133750108017
1_1_1_trifluoropentane_2_4_dione,0.012095815064441776,0.22712903163412926
1_1_1_trifluoropropan_2_amine,0.0006426210232100094,0.017528684653364657
1_1_1_trifluoropropan_2_ol,0.0006501842384882981,0.017846324057446742
1_1_1_trifluoropropan_2_one,0.0008780773757772143,0.020076104254849812
1_1_2_2_3_3_4_4_5_5_6_6_7_7_8_8_8_heptadecafluorooctane_1_sulfonyl_fluoride,0.4520401460989152,9.431525868388565
1_1_2_2_tetrachloroethane,0.005523311227714454,0.23119757386942588
1_1_2_2_tetramethylcyclopropane,0.0006575171460240562,0.0005061989865077136
1_1_2_3_3_3_hexafluoroprop_1_ene,0.014930510227067404,0.2896612690024528
1_1_2_4_triazol_1_yl_propan_2_one,0.0027629895259585592,0.08016340652944326
1_1_2_trichloro_1_2_2_trifluoroethane,0.00879815144989169,1.0917497851246762
1_1_2_trichloroethane,0.0004799599729214077,0.05921316677591506
1_1_2_trichloroethene,0.000740518070566761,0.04749632715622646
1_1_2_trifluoroethene,0.00011829721881413255,0.026966462529440523
1_1_2_trimethylcyclopropane,9.045984547160731e-05,0.024485941204053542
1_1_3_3_tetramethylguanidine,0.0038583818213356264,0.01627052478774894
1_1_3_3_tetramethylurea,0.0013902264707100246,0.03070496875516331
1_1_3_dioxolan_2_yl_propan_2_one,0.0015594728765100175,0.05200429154626274
1_1_3_trimethylcyclohexane,0.0027348337595611174,0.0354671510704689
1_1_3_trimethylthiourea,0.0019808585572090357,0.04753357018963549
1_1_3_trimethylurea,0.0005568502566468922,0.0007939852060926186
1_1_4_trimethylcyclohexane,0.0025079632308386613,0.08047528119603424
1_1_dichloroethane,0.00010364466109792097,0.0007311827570700359
1_1_diethylurea,0.0013202169826127715,0.025862714114918084
1_1_difluoroethene,0.00022745063476890245,0.18939302537946365
1_1_dimethoxycyclohexane,0.0009617799970031445,0.2134787738261618
1_1_dimethoxycyclopentane,0.0009595540594781933,0.1172426776829369
1_1_dimethylcyclohexane,0.000700997440118492,0.012415551968370594
1_1_dimethylhydrazine,0.00025746492480900265,0.11735112460185257
1_1_dimethylurea,0.00017627823500492994,0.01936600071508575
1_1_dinitrocyclohexane,0.03774936230999211,0.6353750805862595
1_1_dinitrocyclopentane,0.012752459309473864,0.2457774199403195
1_1_dioxo_1_2_benzothiazol_3_one,0.01704574493678775,0.7474792296423799
1_1_methylcyclopropyl_ethanone,0.0021286201685802282,0.0006490518236419934
1_1_methylcyclopropyl_propan_2_one,0.0032301111327720337,0.008890674740546617
1_1_methylpyrazol_4_yl_ethanone,0.007837270022570534,0.0729213552691949
1_1_methylpyrrol_2_yl_ethanone,0.0035452718094956992,0.04314358988695861
1_1_methylpyrrol_3_yl_ethanone,0.003273027631363063,0.02947329258729998
1_1h_imidazol_2_yl_ethanone,0.0019046947708712882,0.011898703175284301
1_1h_pyrrol_2_yl_ethanone,0.0026410586540447797,0.0076178995092965555
1_1h_pyrrol_2_yl_propan_1_one,0.0026547422827556517,0.07712738053231627
1_1h_pyrrol_3_yl_ethanone,0.0027888046670210245,0.008509045826484438
1_2_2_6_6_pentamethylpiperidine,0.014123209889874406,0.39750326024913074
1_2_2_dimethylcyclopropyl_propan_1_one,0.0035891104929104915,0.09062115490440532
1_2_2_triphenylethenylbenzene,0.051459979565868064,4.107901326929182
1_2_3_4_5_6_hexachlorobenzene,0.04765968345996189,3.5498037909816427
1_2_3_4_5_6_hexaethylbenzene,0.04316468414140125,2.2043912383730104
